AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L),"Agriculture, electricity, water, mining (A,B,D,E)"
E08000028,Sandwell,Bus,12.04759977,1.59248057,1.687743615,0.223074297,0.609683489,0.197670819,0.587455445,0.754165774,0.296903157,0.083355164,0.46758278,1.411480785,0.572372129,0.238157613,0.298490874,0.59618789,0.084149023,0.149245437,0.263561092
E08000029,Solihull,Bus,11.72660152,2.449799996,1.109474815,0.256721527,0.415928675,0.321399431,0.971163605,0.721407391,0.301498537,0.212939561,0.206969293,0.554239885,0.32537961,0.16816255,0.212939561,0.217914784,0.411948496,0.087563932,0.15323688
E07000196,South Staffordshire,Bus,3.557914795,0.560773105,0.628828093,0.046277392,0.149720975,0.048999592,0.274942153,0.244997958,0.081665986,0.019055397,0.070777188,0.29127535,0.17694297,0.048999592,0.081665987,0.114332381,0.035388594,0.021777596,0.057166191
E07000197,Stafford,Bus,4.317334438,0.798958395,0.615493875,0.084334497,0.238207966,0.059182103,0.334378884,0.211576019,0.208616914,0.041427472,0.102089128,0.156832574,0.087293602,0.075457182,0.103568681,0.094691365,0.054743446,0.010356868,0.028111498
E07000198,Staffordshire Moorlands,Bus,3.408347321,0.477965234,0.32148852,0.056900623,0.142251558,0.042675467,0.34424877,0.128026402,0.036985405,0.019915218,0.091040997,0.184927025,0.076815841,0.867734502,0.065435716,0.059745654,0.159321745,0.008535093,0.014225155
E07000221,Stratford-on-Avon,Bus,3.177257525,0.50948645,0.212546495,0.079704935,0.071890726,0.176601131,0.215672178,0.131278717,0.039071047,0.171912606,0.062513675,0.179726815,0.060950833,0.053136624,0.060950833,0.059387991,0.064076517,0.020316944,0.018754102
E07000199,Tamworth,Bus,5.411354974,1.347088974,0.453410435,0.108424234,0.2299908,0.131423314,0.450124852,0.430411355,0.170850309,0.072282823,0.111709817,0.344986201,0.203706137,0.187278223,0.154422395,0.213562886,0.075568406,0.016427914,0.016427914
E08000030,Walsall,Bus,10.50880552,2.1212868,1.524141722,0.195256962,0.672973024,0.303311786,0.579135941,0.570605297,0.510890789,0.075827946,0.286250498,1.146897689,0.414210157,0.19810051,0.206631154,0.441697788,0.069193001,0.135542454,0.115637618
E07000222,Warwick,Bus,5.029283139,0.696913122,0.577990333,0.140661364,0.205877088,0.07800312,0.295388865,0.239124319,0.124037748,0.11636531,0.037083451,0.180302294,0.113807831,0.056264546,0.093347996,0.113807831,0.124037748,0.028132273,0.393851819
E08000031,Wolverhampton,Bus,12.87417145,1.978372498,1.736837738,0.239690983,0.87948153,0.294082398,0.772542476,0.617665225,0.73566694,0.152111585,0.305145059,0.899763075,0.552211149,0.340176818,0.242456648,0.429599993,0.093110728,0.130908152,0.101407723
E07000237,Worcester,Bus,6.139694885,1.063790009,0.856266826,0.16826204,0.301002094,0.095348489,0.357089441,0.256132217,0.321567454,0.087870176,0.067304816,0.205653605,0.151435836,0.097218068,0.140218367,0.102826802,0.059826503,0.106565959,0.029913251
E07000238,Wychavon,Bus,2.380646935,0.337212499,0.183267662,0.038486209,0.076972418,0.012828736,0.186933016,0.144781453,0.032988179,0.01099606,0.027490149,0.328049116,0.056812975,0.032988179,0.045816916,0.095299184,0.025657473,0.014661413,0.049482268
E07000239,Wyre Forest,Bus,3.043409043,0.658034388,0.302483549,0.061027383,0.127361494,0.026533645,0.14858841,0.07694757,0.053067289,0.021226916,0.034493738,0.185735513,0.092867756,0.122054765,0.087561027,0.07694757,0.029187009,0.007960093,0.018573551
E06000055,Bedford UA,Bus,5.493376733,0.824406707,0.75237117,0.174752878,0.320157945,0.097381375,0.246788416,0.282806184,0.270800261,0.066699572,0.086709443,0.224110561,0.181422835,0.081373478,0.105385323,0.156076998,0.030681803,0.0466897,0.065365579
E06000056,Central Bedfordshire UA,Bus,4.051783473,0.543544273,0.331997247,0.048584963,0.203449532,0.030365602,0.220656707,0.132596461,0.080974938,0.035426535,0.076926191,0.210534839,0.140693955,0.076926191,0.120450221,0.119438034,0.036438722,0.042511843,0.01214624
E06000032,Luton UA,Bus,9.903280067,1.237218361,1.010358107,0.265592493,0.464786862,0.142755965,0.453720508,0.808950467,0.367402948,0.251206233,0.178168297,0.380682573,0.468106768,0.131689611,0.131689611,0.200301005,0.085210925,0.085210925,0.03098579
E06000031,Peterborough UA,Bus,8.445726437,1.767114926,0.933272953,0.217566796,0.312075449,0.375081218,0.499123826,0.77575853,0.454822895,0.206737679,0.093524188,0.488294709,0.220520191,0.138809585,0.158498887,0.233318238,0.081710607,0.062021304,0.059067908
E06000033,Southend-on-Sea UA,Bus,12.36400694,1.163687443,1.311041948,0.191423142,0.465474977,0.614206627,0.479246426,0.554989396,0.444817804,0.088137274,0.101908723,0.320874762,0.141845925,0.198308866,0.168011678,0.133583056,0.033051478,0.079874404,0.019280029
E06000034,Thurrock UA,Bus,10.77901924,2.158597145,0.380198634,0.063625078,0.195530726,0.048106766,0.44072005,0.285536934,0.102420857,0.035692117,0.085350714,0.141216636,0.180012415,0.060521415,0.085350714,0.184667908,0.01396648,0.023277467,0.024829298
E07000200,Babergh,Bus,2.862605997,0.615197029,0.224463781,0.036025051,0.138557889,0.044338525,0.224463781,0.166269467,0.058194314,0.02494042,0.047109682,0.199523361,0.044338525,0.041567367,0.077592418,0.04988084,0.07482126,0.008313473,0.016626947
E07000066,Basildon,Bus,8.993254759,1.130608032,0.696128088,0.100818551,0.183633789,0.163230034,0.280851677,0.22804196,0.196836218,0.08521568,0.118821863,0.232842843,0.136825176,0.0576106,0.109220097,0.159629372,0.016803092,0.051609496,0.015602871
E07000067,Braintree,Bus,4.742115156,0.577675846,0.400062079,0.067251815,0.101739925,0.058629787,0.156920902,0.16899174,0.062078598,0.032763705,0.05000776,0.425928161,0.079322654,0.060354193,0.093117898,0.091393492,0.022417272,0.025866083,0.037936922
E07000143,Breckland,Bus,1.892236726,0.288546472,0.147217588,0.037295122,0.096182157,0.058887035,0.113848268,0.096182157,0.045146727,0.005888704,0.058887035,0.172735303,0.041220925,0.037295122,0.039258023,0.052998332,0.031406419,0.017666111,0.021591913
E07000068,Brentwood,Bus,10.11878703,0.715057059,0.37066223,0.131337011,0.198464816,0.23932522,0.192627616,0.469894639,0.040860403,0.096313808,0.055453405,0.145930012,0.072965006,0.061290605,0.140092811,0.049616204,0.072965006,0.011674401,0.023348801
E07000144,Broadland,Bus,3.651520242,0.405257853,0.480849992,0.075592138,0.132286242,0.663530993,0.161683185,0.115487989,0.119687552,0.092390391,0.107088863,0.32336637,0.062993449,0.046195196,0.054594323,0.146984714,0.035696288,0.069292794,0.081891484
E07000095,Broxbourne,Bus,8.767620948,1.025916545,0.324916213,0.089543838,0.189321258,0.081868652,0.230255584,0.360733748,0.084427047,0.051167907,0.148386932,0.202113235,0.150945327,0.079310257,0.053726302,0.212346816,0.03325914,0.023025558,0.03325914
E07000008,Cambridge,Bus,12.01579442,1.79798769,1.418963861,0.598625379,1.583665023,0.149920289,0.506772807,0.312509898,0.303007908,0.25444218,0.090796795,0.105577668,0.068625484,0.128804755,0.186872473,0.080239028,0.097131455,0.058067718,0.029561747
E07000069,Castle Point,Bus,8.197617653,0.902167545,0.902167545,0.074204257,0.40617067,0.144503027,0.359304823,0.187463386,0.109353642,0.035149385,0.14059754,0.36321031,0.203085335,0.089826206,0.171841437,0.164030463,0.015621949,0.039054872,0.007810974
E07000070,Chelmsford,Bus,8.705910678,0.91007584,0.958228,0.190201035,0.266040689,0.302154809,0.33224991,0.219092332,0.439388468,0.058986397,0.093896714,0.12278801,0.139641266,0.090285302,0.173347779,0.105934754,0.038521729,0.040929337,0.022872276
E07000071,Colchester,Bus,8.609979452,1.564263062,1.147363795,0.23754944,0.622379533,0.24586367,0.49647833,0.330193722,0.232798451,0.123525709,0.084330051,0.144905158,0.108084995,0.171035597,0.231610704,0.123525709,0.045134394,0.073640326,0.014252966
E07000096,Dacorum,Bus,5.664762419,0.86665767,0.392844826,0.167933666,0.176930113,0.107957357,0.212915898,0.217414121,0.077969202,0.09296328,0.091463872,0.118453211,0.163435443,0.100460318,0.083966833,0.104958541,0.070472163,0.01349467,0.010495854
E07000009,East Cambridgeshire,Bus,2.382772681,0.344036697,0.165647299,0.035040775,0.066896024,0.01911315,0.111493374,0.05733945,0.01911315,0.015927625,0.03185525,0.105122324,0.022298675,0.035040775,0.04459735,0.022298675,0.028669725,0.003185525,0.041411825
E07000242,East Hertfordshire,Bus,5.837684721,0.476092966,0.342991707,0.098972731,0.138220539,0.04266066,0.218422579,0.15187195,0.087027746,0.035834954,0.064844203,0.150165523,0.095559879,0.037541381,0.078495615,0.069963482,0.032422102,0.01877069,0.022183543
