AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L)
E30000161,Banbury,0.997081608,0.435158379,1.76144676,0.009546698,0.554954983,0.937123186,1.177403207,0.754331812,0.839286825,0.539435274,0.275340554,0.626624038,0.975810634,1.632266531,0.58745857,0.854707651,0.710015592,1.565874374,0.897444828
E30000162,Barnstaple,2.007000358,0.772849113,1.520767568,0.585836313,0.74724114,1.127454923,1.290281109,0.463206519,1.830456641,0.293275668,0.224553439,1.367444963,0.649848594,0.628438405,0.545735429,0.897752948,1.19910108,0.90013897,0.640073773
E30000163,Barrow-in-Furness,1.273239495,5.581222935,3.091993209,1.188428068,1.042487269,0.771993011,0.974719627,0.556733761,1.171860097,0.422509864,0.241499417,0.404191985,0.587545525,0.48904273,0.864480296,0.744688103,1.182440072,1.205492494,0.81449025
E30000164,Basingstoke,0.971419826,0.798992799,1.234819582,1.514801637,0.799952426,1.199313291,1.117431802,0.591933465,0.821513207,1.885451668,0.697186421,0.752927813,0.911965534,0.974799199,0.575957347,0.767392527,0.906690168,0.736912198,2.382961933
E30000165,Bath,0.345544588,null,0.628928146,0.383578703,3.05992496,1.117554486,0.961484031,0.337831052,1.404089948,1.061717635,0.900571001,1.417002542,1.215817927,0.495132764,0.327280062,1.543010306,1.14248007,1.181011565,0.956961731
E30000166,Bedford,2.256671934,0.464512823,0.925688273,1.047860666,0.809821225,1.184973466,1.002961709,1.30080242,0.992182802,0.648161039,0.36844865,1.328853139,1.050095507,0.824414719,1.30957461,1.240621277,0.928936985,0.942319301,1.011846315
E30000167,Bideford,3.776930623,2.198689143,1.130404018,0.248292137,0.579541349,1.694855143,1.197209036,0.83430186,1.908256534,0.201446998,0.225757024,1.206890456,0.644947938,0.501721617,0.534132154,1.19577973,0.965134696,1.578472903,0.540922228
E30000168,Birkenhead,0.349647404,null,1.019020519,0.901732329,1.212579994,0.942640761,1.0032208,0.808635147,0.922368915,0.361502735,0.312967623,0.736225463,0.985155497,0.661909772,1.071326597,1.092138554,1.658129197,1.281526182,1.181148818
E30000169,Birmingham,0.182267727,0.218687525,1.125445921,0.430954353,0.755234851,0.847159098,0.952531873,1.090945304,0.966799548,0.666722589,1.043730877,0.93396367,0.852547447,1.506716272,0.943466338,1.031668991,0.992998425,0.736332969,0.925695185
E30000170,Blackburn,0.455460075,2.04715266,2.366593152,0.559270277,0.840146932,0.722950617,1.233448854,0.844328732,0.712393802,0.387783757,0.26684023,0.604339616,0.614709321,0.6427653,0.910798637,0.993319105,1.27921304,0.834373507,1.03057737
E30000171,Blackpool,1.158696232,0.060137557,0.94589407,0.74745994,0.71937709,0.757479622,1.01181044,0.740105753,1.527704782,0.391075794,0.393557272,0.524166554,0.849252205,0.62372491,1.862683125,0.805660153,1.495356566,1.696686339,0.79177741
E30000172,Blandford Forum and Gillingham,9.358724081,0.973956099,1.48964826,null,1.021443519,1.681794429,1.196695374,0.524252985,0.90256429,0.418817299,0.245931003,1.029737893,0.768814831,0.460289871,0.868960773,1.587325417,0.796799966,0.901220286,2.061855863
E30000173,Blyth and Ashington,1.68755812,4.058330148,1.565907191,4.458447383,2.600132524,1.218424233,1.081222452,0.818959679,1.071014297,0.236591459,0.153262446,0.950477783,0.57847331,0.473125444,0.956395737,0.938937091,1.407577608,1.198077676,1.231304668
E30000174,Boston,9.872223666,null,1.820026827,0.169266471,0.796112774,0.752402359,1.223420745,1.137505086,0.721960813,0.103933597,0.19806203,0.663062927,0.324534676,1.72900043,0.640763998,0.808964559,1.268823664,0.725603922,0.722539117
E30000175,Bournemouth,0.827377584,1.705011252,0.715307927,1.263869464,0.774340076,1.218258396,1.045345648,0.526460489,1.316610525,0.756466475,2.385308594,1.588687402,0.857113953,0.698648248,0.472831272,0.978797511,1.126148785,1.201326964,0.873290089
E30000176,Bridgwater,1.590352516,null,1.589277985,7.089398318,1.735607896,1.41107399,1.013106113,1.991105253,1.083664706,0.226957577,0.190596292,0.791297305,0.50074217,0.636881383,1.395335447,0.970040253,0.847816511,1.03445712,0.629455841
E30000177,Bridlington,1.701904454,null,1.797854439,0.069159559,2.161354697,0.883077296,1.182276917,0.429124781,1.982828851,0.181289023,0.247611697,2.242152482,0.396437744,0.244029719,0.927425376,0.925427558,1.14326841,1.645991528,0.870011068
E30000178,Bridport,4.254942878,null,1.368933365,null,0.816215556,1.879519377,1.258018041,0.553833503,2.399207225,0.344636106,0.19348399,1.191928565,0.676356101,0.433279281,0.215175552,0.783782662,0.840388198,1.176568255,1.098562868
E30000179,Brighton,0.334414096,0.196153602,0.356598334,1.87759842,0.884556738,0.70773055,0.985757658,0.568413419,1.350197133,1.293859712,1.500922294,0.918729878,0.78824402,0.907558519,0.813610444,1.315082411,1.247020077,1.199823005,1.251807276
E30000180,Bristol,0.480810221,0.903279528,0.788614166,0.944314819,1.201137236,1.064479801,0.885380903,0.967292778,0.851063675,1.106574211,1.384584799,0.870091305,1.248004264,0.987326085,1.643411165,0.95754086,0.951679157,0.855472939,0.720725173
E30000181,Bude,3.397286092,null,1.127394633,1.275163025,0.635453461,1.675442012,1.550326119,0.461467884,2.029307848,0.309221325,0.298439996,1.063822285,0.710240683,0.634436414,0.161680941,0.681750633,0.82866093,1.343367614,1.232034547
E30000182,Burnley,0.556153143,null,2.796113934,0.045207728,0.596695888,0.842022048,1.284205855,0.843144437,0.678347979,0.577389758,0.345737469,0.638301881,0.476147183,0.74164155,0.494280571,0.954841805,1.069249327,0.985940526,0.81844146
E30000183,Burton upon Trent,1.444845959,0.793276933,1.728886426,0.184161224,1.111812967,1.024583627,1.090085222,1.594632235,0.999897046,0.513136545,0.249161332,0.835227346,0.821510854,1.152819306,0.627253469,0.874240366,0.883642048,0.91228103,0.778465186
E30000184,Bury St Edmunds,0.96845858,null,1.249193581,1.401802584,0.769237963,1.157160182,0.934330226,0.695693143,0.695669088,0.316931002,0.529866457,1.05670548,0.612060118,2.785132246,0.46232861,0.773377278,0.990744629,0.684719656,0.687805781
E30000185,Buxton,1.048412416,37.6630813,2.004196196,null,1.111461285,0.848240863,0.980344646,1.360452683,1.603959376,0.327898381,0.131725196,0.704808337,0.618700245,0.507012478,0.922146589,1.00383918,0.830401119,1.396379043,0.741081796
